"saleprice","salecondition"
181500,"Normal"
140000,"Abnorml"
250000,"Normal"
143000,"Normal"
307000,"Normal"
200000,"Normal"
129900,"Abnorml"
118000,"Normal"
129500,"Normal"
345000,"Partial"
144000,"Normal"
157000,"Normal"
132000,"Normal"
149000,"Normal"
90000,"Normal"
159000,"Normal"
139000,"Abnorml"
325300,"Partial"
139400,"Normal"
129900,"Normal"
154000,"Normal"
256300,"Normal"
134800,"Normal"
306000,"Normal"
207500,"Normal"
68500,"Normal"
40000,"Normal"
149350,"Normal"
165500,"Normal"
277500,"Normal"
309000,"Normal"
153000,"Normal"
109000,"Abnorml"
82000,"AdjLand"
160000,"Abnorml"
170000,"Normal"
144000,"Normal"
141000,"Normal"
319900,"Normal"
239686,"Abnorml"
249700,"Normal"
113000,"Partial"
127000,"Normal"
177000,"Normal"
114500,"Normal"
110000,"Normal"
385000,"Normal"
130000,"Normal"
180500,"Normal"
172500,"Abnorml"
438780,"Partial"
158000,"Partial"
101000,"Normal"
202500,"Normal"
140000,"Normal"
317000,"Normal"
180000,"Normal"
80000,"Normal"
225000,"Normal"
244000,"Normal"
129500,"Normal"
185000,"Normal"
144900,"Normal"
107400,"Normal"
91000,"Normal"
135750,"Normal"
127000,"Normal"
136500,"Normal"
110000,"Normal"
193500,"Normal"
153500,"Normal"
245000,"Normal"
126500,"Normal"
168500,"Normal"
260000,"Normal"
174000,"Normal"
164500,"Partial"
85000,"Abnorml"
109900,"Normal"
98600,"Abnorml"
163500,"Normal"
133900,"Normal"
185000,"Normal"
94750,"Normal"
83000,"Abnorml"
128950,"Normal"
106250,"Normal"
205000,"Normal"
178000,"Normal"
118964,"Alloca"
169500,"Normal"
250000,"Normal"
100000,"Normal"
115000,"Partial"
115000,"Normal"
190000,"Normal"
136900,"Normal"
180000,"Normal"
217000,"Abnorml"
259500,"Normal"
176000,"Normal"
139000,"Normal"
155000,"Partial"
320000,"Normal"
180000,"Normal"
100000,"Normal"
136000,"Normal"
153900,"Normal"
181000,"Normal"
84500,"Normal"
128000,"Normal"
87000,"Normal"
155000,"Normal"
150000,"Abnorml"
226000,"Normal"
244000,"Normal"
150750,"Normal"
220000,"Normal"
180000,"Normal"
174000,"Normal"
143000,"Normal"
171000,"Family"
115000,"Normal"
166000,"Normal"
125000,"Abnorml"
130000,"Normal"
105000,"Normal"
222500,"Normal"
141000,"Normal"
115000,"Normal"
372402,"Partial"
190000,"Normal"
235000,"Normal"
125000,"Family"
79000,"Normal"
109500,"Normal"
269500,"Partial"
254900,"Normal"
320000,"Partial"
162500,"Normal"
412500,"Normal"
220000,"Partial"
103200,"Normal"
152000,"Normal"
127500,"Normal"
190000,"Normal"
325624,"Partial"
183500,"Normal"
228000,"Normal"
128500,"Normal"
215000,"Normal"
239000,"Normal"
163000,"Normal"
184000,"Normal"
243000,"Normal"
211000,"Normal"
172500,"Normal"
501837,"Partial"
100000,"Normal"
177000,"Normal"
200100,"Normal"
120000,"Normal"
200000,"Normal"
127000,"Normal"
475000,"Normal"
173000,"Normal"
135000,"Normal"
153337,"Alloca"
286000,"Normal"
315000,"Normal"
184000,"Normal"
130000,"Normal"
148500,"Normal"
311872,"Partial"
235000,"Abnorml"
104000,"Abnorml"
274900,"Normal"
140000,"Normal"
171500,"Normal"
112000,"Normal"
110000,"Normal"
180500,"Normal"
143900,"Normal"
141000,"Normal"
277000,"Normal"
145000,"Normal"
98000,"Normal"
186000,"Normal"
252678,"Partial"
134450,"Normal"
107000,"Family"
311500,"Normal"
167240,"Partial"
200000,"Normal"
179900,"Normal"
97000,"Abnorml"
386250,"Normal"
112000,"Abnorml"
290000,"Abnorml"
106000,"Normal"
125000,"Normal"
192500,"Normal"
148000,"Normal"
403000,"Normal"
94500,"Normal"
216500,"Normal"
89500,"Normal"
194500,"Normal"
318000,"Partial"
113000,"Normal"
262500,"Normal"
110500,"Normal"
79000,"Normal"
120000,"Normal"
205000,"Normal"
241500,"Normal"
137000,"Normal"
140000,"Normal"
277000,"Normal"
76500,"Normal"
235000,"Family"
173000,"Normal"
158000,"Normal"
145000,"Normal"
230000,"Normal"
207500,"Normal"
97000,"Normal"
176000,"Normal"
151000,"Normal"
130000,"Normal"
73000,"Normal"
175500,"Normal"
185000,"Normal"
179500,"Normal"
120500,"Normal"
148000,"Normal"
266000,"Partial"
241500,"Normal"
290000,"Normal"
139000,"Normal"
124500,"Normal"
205000,"Normal"
201000,"Normal"
141000,"Normal"
415298,"Partial"
192000,"Normal"
228500,"Normal"
185000,"Partial"
207500,"Normal"
244600,"Partial"
179200,"Normal"
164700,"Partial"
159000,"Normal"
88000,"Normal"
122000,"Normal"
153575,"Normal"
135900,"Normal"
131000,"Normal"
235000,"Normal"
167000,"Normal"
142500,"Normal"
152000,"Normal"
239000,"Normal"
175000,"Normal"
158500,"Family"
157000,"Normal"
295000,"Normal"
225000,"Normal"
89500,"Normal"
82500,"Normal"
360000,"Normal"
165600,"Normal"
132000,"Normal"
119900,"Normal"
375000,"Normal"
178000,"Normal"
188500,"Normal"
260000,"Normal"
270000,"Normal"
260000,"Normal"
187500,"Normal"
342643,"Partial"
354000,"Normal"
301000,"Normal"
126175,"Normal"
242000,"Normal"
87000,"Normal"
324000,"Normal"
145250,"Normal"
214500,"Normal"
78000,"Normal"
119000,"Normal"
139000,"Normal"
284000,"Normal"
207000,"Normal"
192000,"Normal"
228950,"Normal"
377426,"Normal"
202500,"Normal"
155000,"Normal"
202900,"Normal"
82000,"Normal"
87500,"Normal"
266000,"Normal"
85000,"Normal"
140200,"Normal"
151500,"Normal"
157500,"Normal"
154000,"Normal"
437154,"Partial"
318061,"Partial"
190000,"Abnorml"
95000,"Normal"
105900,"Normal"
140000,"Normal"
173000,"Normal"
134000,"Normal"
130000,"Abnorml"
280000,"Normal"
156000,"Normal"
145000,"Normal"
198500,"Normal"
118000,"Normal"
190000,"Normal"
147000,"Normal"
159000,"Normal"
165000,"Normal"
132000,"Normal"
162000,"Normal"
172400,"Normal"
134432,"Normal"
125000,"Normal"
123000,"Normal"
61000,"Normal"
340000,"Normal"
394432,"Partial"
179000,"Normal"
127000,"Normal"
187750,"Partial"
76000,"Normal"
240000,"Normal"
192000,"Normal"
81000,"AdjLand"
125000,"Abnorml"
426000,"Partial"
119000,"Normal"
215000,"Normal"
106500,"Normal"
100000,"Abnorml"
109000,"Normal"
129000,"Normal"
169500,"Normal"
67000,"Abnorml"
241000,"Normal"
245500,"Normal"
108000,"Normal"
258000,"Abnorml"
168000,"Normal"
150000,"Normal"
115000,"Normal"
177000,"Normal"
280000,"Partial"
339750,"Partial"
60000,"Abnorml"
145000,"Normal"
222000,"Partial"
115000,"Normal"
228000,"Normal"
181134,"Partial"
149500,"Normal"
239000,"Normal"
126000,"AdjLand"
142000,"Normal"
206300,"Alloca"
215000,"Normal"
113000,"Normal"
315000,"Normal"
139000,"Normal"
135000,"Normal"
275000,"Normal"
109008,"Normal"
175000,"Normal"
85400,"Abnorml"
79900,"Abnorml"
122500,"Normal"
181000,"Normal"
81000,"Normal"
116000,"Normal"
119000,"Normal"
90350,"Normal"
110000,"Normal"
555000,"Normal"
118000,"Normal"
162900,"Normal"
172500,"Partial"
127500,"Normal"
190000,"Normal"
199900,"Normal"
119500,"Normal"
120000,"Normal"
110000,"Normal"
280000,"Normal"
204000,"Normal"
210000,"Normal"
188000,"Family"
175500,"Normal"
98000,"Abnorml"
256000,"Normal"
161000,"Normal"
110000,"Normal"
263435,"Partial"
155000,"Normal"
62383,"Normal"
188700,"Normal"
178740,"Normal"
167000,"Normal"
146500,"Normal"
250000,"Normal"
187000,"Normal"
212000,"Normal"
190000,"Normal"
148000,"Normal"
440000,"Partial"
251000,"Normal"
132500,"Normal"
380000,"Normal"
89471,"Alloca"
326000,"Normal"
374000,"Normal"
155000,"Normal"
164000,"Normal"
132500,"Normal"
147000,"Normal"
156000,"Normal"
175000,"Normal"
160000,"Normal"
86000,"Normal"
115000,"Normal"
133000,"Normal"
172785,"Partial"
155000,"Normal"
91300,"Normal"
34900,"Abnorml"
430000,"Normal"
184000,"Normal"
130000,"Normal"
120000,"Normal"
113000,"Normal"
226700,"Normal"
140000,"Normal"
289000,"Normal"
147000,"Normal"
124500,"Normal"
215000,"Normal"
208300,"Partial"
161000,"Normal"
124500,"Normal"
164900,"Normal"
202665,"Partial"
129900,"Normal"
134000,"Normal"
96500,"Normal"
402861,"Partial"
158000,"Abnorml"
265000,"Normal"
234000,"Normal"
150000,"Normal"
159000,"Normal"
184750,"Partial"
315750,"Normal"
176000,"Normal"
132000,"Normal"
446261,"Partial"
86000,"Normal"
200624,"Alloca"
175000,"Abnorml"
128000,"Normal"
107500,"Normal"
39300,"Normal"
178000,"Normal"
107500,"Normal"
111250,"Normal"
158000,"Normal"
315000,"Normal"
248000,"Normal"
213250,"Normal"
133000,"Normal"
179665,"Partial"
229000,"Normal"
210000,"Normal"
129500,"Normal"
125000,"Normal"
263000,"Normal"
140000,"Abnorml"
112500,"Normal"
255500,"Normal"
108000,"Normal"
284000,"Normal"
113000,"Normal"
141000,"Normal"
108000,"Normal"
175000,"Normal"
234000,"Normal"
121500,"Normal"
170000,"Normal"
108000,"Normal"
185000,"Normal"
268000,"Normal"
128000,"Normal"
325000,"Normal"
214000,"Normal"
316600,"Normal"
135960,"Normal"
142600,"Normal"
120000,"Abnorml"
224500,"Partial"
170000,"Normal"
139000,"Normal"
118500,"Abnorml"
145000,"Normal"
164500,"Abnorml"
146000,"Abnorml"
131500,"Normal"
181900,"Normal"
253293,"Partial"
118500,"Normal"
325000,"Normal"
133000,"Normal"
369900,"Partial"
130000,"Normal"
137000,"Normal"
143000,"Partial"
79500,"Normal"
451950,"Normal"
138000,"Normal"
319000,"Partial"
114504,"Normal"
194201,"Partial"
217500,"Normal"
151000,"Normal"
275000,"Normal"
141000,"Normal"
220000,"Abnorml"
151000,"Normal"
205000,"Normal"
225000,"Normal"
359100,"Alloca"
118500,"Normal"
148000,"Normal"
147000,"Partial"
75500,"Normal"
137500,"Abnorml"
183200,"Normal"
105500,"Normal"
314813,"Partial"
305000,"Normal"
67000,"Normal"
240000,"Normal"
135000,"Normal"
168500,"Normal"
165150,"Normal"
160000,"Normal"
139900,"Normal"
153000,"Normal"
135000,"Family"
168500,"Normal"
124000,"Abnorml"
209500,"Normal"
82500,"Family"
139400,"Normal"
144000,"Normal"
200000,"Abnorml"
60000,"Normal"
93000,"Normal"
85000,"Normal"
264561,"Partial"
274000,"Normal"
226000,"Normal"
345000,"Normal"
152000,"Normal"
370878,"Partial"
143250,"Normal"
98300,"Normal"
155000,"Normal"
155000,"Normal"
84500,"Normal"
205950,"Normal"
108000,"Normal"
135000,"Normal"
350000,"Normal"
88000,"Family"
145500,"Normal"
149000,"Normal"
97500,"Abnorml"
167000,"Normal"
197900,"Normal"
402000,"Normal"
110000,"Normal"
137500,"Normal"
423000,"Partial"
230500,"Normal"
129000,"Abnorml"
193500,"Normal"
168000,"Normal"
137500,"Normal"
103600,"Normal"
165000,"Normal"
257500,"Normal"
140000,"Normal"
148500,"Normal"
87000,"Normal"
109500,"Normal"
372500,"Partial"
128500,"Normal"
143000,"Normal"
159434,"Abnorml"
173000,"Normal"
221000,"Normal"
207500,"Normal"
227875,"Partial"
148800,"Normal"
392000,"Partial"
194700,"Normal"
755000,"Normal"
335000,"Normal"
108480,"Abnorml"
141500,"Normal"
176000,"Normal"
89000,"Normal"
123500,"Normal"
138500,"Normal"
196000,"Normal"
312500,"Normal"
140000,"Normal"
361919,"Partial"
140000,"Normal"
55000,"Normal"
302000,"Normal"
254000,"Normal"
179540,"Partial"
109900,"Abnorml"
52000,"Normal"
102776,"Abnorml"
189000,"Normal"
129000,"Normal"
130500,"Normal"
165000,"Normal"
159500,"Normal"
157000,"Normal"
341000,"Normal"
275000,"Normal"
124500,"Normal"
135000,"Normal"
320000,"Normal"
120500,"Normal"
222000,"Normal"
110000,"Abnorml"
103000,"Normal"
236500,"Normal"
187500,"Normal"
131400,"Normal"
108000,"Family"
163000,"Normal"
93500,"Normal"
239900,"Normal"
179000,"Alloca"
132000,"Abnorml"
142000,"Normal"
179000,"Normal"
175000,"Normal"
180000,"Normal"
299800,"Normal"
236000,"Normal"
265979,"Normal"
260400,"Normal"
98000,"Normal"
96500,"Normal"
162000,"Normal"
275500,"Normal"
156000,"Normal"
172500,"Normal"
158900,"Abnorml"
179400,"Normal"
290000,"Normal"
127500,"Normal"
100000,"Normal"
215200,"Normal"
337000,"Normal"
270000,"Normal"
264132,"Partial"
196500,"Normal"
160000,"Normal"
538000,"Normal"
134900,"Normal"
102000,"Normal"
107000,"Abnorml"
114500,"Normal"
395000,"Partial"
162000,"Normal"
142500,"Normal"
144000,"Normal"
135000,"Normal"
176000,"Normal"
175900,"Normal"
165500,"Normal"
128000,"Normal"
161500,"Normal"
139000,"Normal"
233000,"Normal"
107900,"Normal"
187500,"Normal"
160200,"Normal"
146800,"Normal"
269790,"Normal"
225000,"Partial"
194500,"Normal"
171000,"Normal"
143500,"Normal"
110000,"Abnorml"
485000,"Partial"
175000,"Normal"
200000,"Normal"
109900,"Normal"
582933,"Partial"
118000,"Family"
227680,"Partial"
135500,"Normal"
223500,"Normal"
159950,"Normal"
106000,"Normal"
181000,"Normal"
55993,"Alloca"
157900,"Normal"
116000,"Normal"
137000,"Normal"
271000,"Normal"
155000,"Normal"
224000,"Partial"
93000,"Normal"
225000,"Family"
139500,"Normal"
232600,"Partial"
385000,"Partial"
109500,"Normal"
189000,"Normal"
185000,"Abnorml"
147400,"Normal"
166000,"Normal"
151000,"Normal"
167000,"Normal"
139950,"Normal"
128000,"Normal"
153500,"Normal"
100000,"Normal"
130500,"Normal"
140000,"Normal"
157500,"Normal"
174900,"Normal"
141000,"Normal"
153900,"Normal"
171000,"Normal"
213000,"Normal"
240000,"Normal"
187000,"Normal"
215000,"Normal"
164000,"Normal"
158000,"Normal"
170000,"Abnorml"
127000,"Normal"
174000,"Normal"
152000,"Family"
250000,"Normal"
189950,"Normal"
131500,"Normal"
152000,"Normal"
132500,"Normal"
250580,"Partial"
148500,"Normal"
248900,"Partial"
129000,"Normal"
169000,"Normal"
236000,"Normal"
109500,"Normal"
116000,"Normal"
133000,"Normal"
66500,"Abnorml"
303477,"Partial"
132250,"Normal"
350000,"Normal"
148000,"Normal"
157000,"Normal"
187500,"Normal"
178000,"Normal"
118500,"Normal"
100000,"Normal"
328900,"Abnorml"
145000,"Family"
135500,"Normal"
268000,"Normal"
149500,"Normal"
122900,"Normal"
172500,"Normal"
154500,"Normal"
165000,"Normal"
118858,"Alloca"
140000,"Normal"
106500,"Abnorml"
142953,"Alloca"
611657,"Partial"
135000,"Normal"
110000,"Normal"
153000,"Normal"
180000,"Normal"
240000,"Partial"
125500,"Normal"
128000,"Normal"
255000,"Normal"
250000,"Normal"
131000,"Normal"
174000,"Normal"
154300,"Normal"
88000,"Abnorml"
145000,"Normal"
173733,"Partial"
75000,"Normal"
35311,"Abnorml"
135000,"Normal"
238000,"Normal"
176500,"Normal"
201000,"Normal"
145900,"Normal"
169990,"Partial"
193000,"Normal"
207500,"Normal"
175000,"Abnorml"
285000,"Normal"
176000,"Normal"
222000,"Normal"
201000,"Normal"
117500,"Normal"
320000,"Normal"
242000,"Normal"
79900,"Normal"
184900,"Normal"
253000,"Normal"
244400,"Normal"
150900,"Normal"
214000,"Normal"
150000,"Abnorml"
143000,"Normal"
137500,"Abnorml"
124900,"Normal"
143000,"Normal"
270000,"Normal"
197500,"Normal"
129000,"Normal"
119900,"Abnorml"
172000,"Normal"
127500,"AdjLand"
145000,"Normal"
124000,"Normal"
132000,"Normal"
155000,"Normal"
116500,"Normal"
272000,"Normal"
155000,"Normal"
214900,"Normal"
178900,"Partial"
160000,"Normal"
135000,"Normal"
37900,"Abnorml"
140000,"Normal"
135000,"Abnorml"
173000,"Normal"
99500,"Normal"
182000,"Partial"
167500,"Normal"
165000,"Normal"
85500,"Normal"
199900,"Partial"
110000,"Abnorml"
139000,"Normal"
178400,"Normal"
336000,"Normal"
159895,"Normal"
126000,"Normal"
125000,"Normal"
117000,"Normal"
395192,"Partial"
195000,"Normal"
197000,"Partial"
348000,"Normal"
168000,"Normal"
187000,"Normal"
337500,"Normal"
121600,"Abnorml"
136500,"Normal"
185000,"Normal"
91000,"Normal"
82000,"Normal"
86000,"Abnorml"
232000,"Normal"
136905,"Normal"
181000,"Normal"
163500,"Normal"
88000,"Normal"
240000,"Normal"
102000,"Normal"
135000,"Normal"
100000,"Normal"
165000,"Normal"
85000,"Normal"
119200,"Normal"
227000,"Normal"
187500,"Abnorml"
160000,"Normal"
213490,"Normal"
176000,"Normal"
87000,"Normal"
191000,"Normal"
287000,"Abnorml"
167500,"Normal"
293077,"Partial"
105000,"Normal"
118000,"Normal"
160000,"Normal"
197000,"Normal"
310000,"Abnorml"
119750,"Normal"
84000,"Normal"
315500,"Normal"
97000,"Normal"
80000,"Normal"
155000,"Normal"
173000,"Normal"
196000,"Normal"
262280,"Normal"
278000,"Normal"
139600,"Normal"
556581,"Partial"
115000,"Normal"
84900,"Abnorml"
176485,"Partial"
165000,"Normal"
144500,"Normal"
180000,"Abnorml"
185850,"Normal"
248000,"Normal"
335000,"Normal"
220000,"Normal"
213500,"Normal"
81000,"Normal"
90000,"Normal"
110500,"Normal"
154000,"Normal"
328000,"Normal"
178000,"Normal"
167900,"Normal"
151400,"Normal"
135000,"Normal"
135000,"Normal"
154000,"Normal"
91500,"Normal"
159500,"Normal"
219500,"Normal"
170000,"Normal"
138800,"Abnorml"
145000,"Abnorml"
133000,"Normal"
160000,"Normal"
187500,"Normal"
147000,"Normal"
83500,"Normal"
252000,"Normal"
137500,"Normal"
197000,"Normal"
92900,"Normal"
160000,"Normal"
136500,"Normal"
146000,"Normal"
129000,"Normal"
127000,"Normal"
170000,"Normal"
128000,"Normal"
157000,"Abnorml"
60000,"Normal"
119500,"Normal"
135000,"Family"
159500,"Normal"
106000,"Normal"
325000,"Normal"
179900,"Normal"
274725,"Partial"
181000,"Abnorml"
280000,"Normal"
188000,"Normal"
205000,"Normal"
129900,"Normal"
134500,"Normal"
117000,"Normal"
318000,"Partial"
184100,"Normal"
130000,"Normal"
140000,"Normal"
133700,"Normal"
118400,"Normal"
112000,"Abnorml"
118000,"Normal"
163900,"Normal"
115000,"Normal"
174000,"Normal"
259000,"Family"
215000,"Normal"
140000,"Normal"
135000,"Normal"
93500,"Abnorml"
117500,"Normal"
239500,"Normal"
169000,"Normal"
102000,"Normal"
119000,"Abnorml"
94000,"Normal"
196000,"Normal"
144000,"Normal"
139000,"Abnorml"
197500,"Normal"
80000,"Normal"
80000,"Normal"
149000,"Family"
180000,"Normal"
174500,"Normal"
116900,"Normal"
143000,"Normal"
124000,"Normal"
149900,"Normal"
230000,"Abnorml"
120500,"Normal"
201800,"Normal"
218000,"Normal"
179900,"Normal"
230000,"Normal"
235128,"Partial"
185000,"Normal"
146000,"Normal"
224000,"Normal"
129000,"Normal"
108959,"Alloca"
194000,"Normal"
233170,"Partial"
173000,"Normal"
235000,"Normal"
625000,"Normal"
171000,"Normal"
163000,"Normal"
171900,"Normal"
200500,"Normal"
239000,"Normal"
285000,"Normal"
119500,"Normal"
115000,"Normal"
154900,"Normal"
93000,"Normal"
250000,"Normal"
392500,"Partial"
745000,"Abnorml"
120000,"Normal"
186700,"Normal"
104900,"Normal"
95000,"Abnorml"
262000,"Normal"
189000,"Normal"
168000,"Normal"
174000,"Normal"
125000,"Normal"
165000,"Normal"
158000,"Normal"
176000,"Normal"
219210,"Partial"
144000,"Normal"
148000,"Normal"
116050,"Abnorml"
117000,"Normal"
153500,"Normal"
271900,"Normal"
107000,"Normal"
140000,"Normal"
290000,"Partial"
189000,"Normal"
164000,"Normal"
113000,"Normal"
145000,"Normal"
134500,"Normal"
125000,"Normal"
112000,"Normal"
229456,"Partial"
80500,"Normal"
91500,"Abnorml"
115000,"Abnorml"
134000,"Normal"
143000,"Normal"
137900,"Normal"
184000,"Normal"
145000,"Normal"
169900,"Normal"
214000,"Normal"
147000,"Normal"
367294,"Partial"
127000,"Normal"
190000,"Normal"
132500,"Normal"
101800,"Normal"
142000,"Abnorml"
130000,"Abnorml"
138887,"Normal"
175500,"Normal"
142500,"Abnorml"
265900,"Normal"
248328,"Partial"
170000,"Family"
465000,"Partial"
230000,"Normal"
178000,"Abnorml"
186500,"Partial"
129500,"Normal"
119000,"Normal"
244000,"Normal"
171750,"Normal"
130000,"Normal"
294000,"Normal"
165400,"Normal"
127500,"Normal"
301500,"Normal"
99900,"Normal"
190000,"Normal"
151000,"Normal"
181000,"Normal"
128900,"Normal"
161500,"Normal"
180500,"Normal"
181000,"Abnorml"
183900,"Normal"
122000,"Normal"
378500,"Normal"
381000,"Normal"
144000,"Normal"
260000,"Normal"
185750,"Normal"
137000,"Normal"
177000,"Normal"
139000,"Normal"
137000,"Normal"
162000,"Normal"
197900,"Normal"
68400,"Abnorml"
180000,"Normal"
139000,"Normal"
169000,"Normal"
132500,"Normal"
143000,"Normal"
190000,"Normal"
278000,"Normal"
281000,"Partial"
180500,"Normal"
119500,"Normal"
107500,"Normal"
162900,"Normal"
115000,"Normal"
138500,"Normal"
155000,"Normal"
140000,"Partial"
160000,"Partial"
154000,"Normal"
225000,"Normal"
177500,"Normal"
290000,"Normal"
232000,"Normal"
130000,"Normal"
325000,"Normal"
202500,"Partial"
147000,"Normal"
179200,"Normal"
335000,"Normal"
302000,"Normal"
333168,"Normal"
119000,"Normal"
206900,"Normal"
208900,"Partial"
111000,"Normal"
156500,"Normal"
72500,"Normal"
190000,"Normal"
82500,"Normal"
147000,"Partial"
55000,"Normal"
79000,"Normal"
130500,"Normal"
256000,"Normal"
176500,"Normal"
227000,"Normal"
100000,"Normal"
125500,"Normal"
125000,"Normal"
167900,"Normal"
135000,"Normal"
52500,"Normal"
123000,"Normal"
155000,"Normal"
177000,"Normal"
108500,"Normal"
262500,"Normal"
283463,"Partial"
215000,"Normal"
122000,"Normal"
200000,"Normal"
171000,"Normal"
134900,"Normal"
410000,"Normal"
170000,"Normal"
110000,"Normal"
149900,"Normal"
177500,"Normal"
315000,"Normal"
189000,"Normal"
260000,"Normal"
104900,"Normal"
156932,"Partial"
144152,"Abnorml"
216000,"Normal"
127000,"Normal"
105000,"Normal"
165500,"Normal"
466500,"Normal"
250000,"Normal"
239000,"Partial"
91000,"Normal"
117000,"Normal"
83000,"Normal"
167500,"Normal"
58500,"Normal"
237500,"Normal"
157000,"Normal"
112000,"Normal"
105000,"Normal"
125500,"Normal"
250000,"Normal"
136000,"Family"
377500,"Normal"
131000,"Normal"
124000,"Normal"
123000,"Normal"
163000,"Normal"
246578,"Partial"
281213,"Normal"
160000,"Normal"
137500,"Normal"
138000,"Normal"
137450,"Normal"
120000,"Normal"
193000,"Normal"
282922,"Normal"
105000,"Family"
275000,"Normal"
112000,"Normal"
125500,"Normal"
215000,"Normal"
140000,"Normal"
90000,"Normal"
257000,"Abnorml"
207000,"Normal"
175900,"Normal"
122500,"Normal"
340000,"Normal"
124000,"Normal"
223000,"Normal"
179900,"Normal"
127500,"Normal"
274970,"Alloca"
144000,"Normal"
142000,"Normal"
271000,"Normal"
140000,"Normal"
119000,"Abnorml"
182900,"Normal"
192140,"Normal"
143750,"Normal"
64500,"Normal"
186500,"Normal"
160000,"Normal"
174000,"Abnorml"
120500,"Normal"
394617,"Partial"
149700,"Normal"
197000,"Normal"
191000,"Normal"
310000,"Normal"
121000,"Normal"
129000,"Normal"
157900,"Normal"
112000,"Normal"
92000,"Abnorml"
136000,"Normal"
287090,"Partial"
145000,"Normal"
84500,"Abnorml"
185000,"Normal"
175000,"Normal"
210000,"Normal"
266500,"Normal"
142125,"Normal"
147500,"Normal"
